銘柄コード,銘柄名,信用区分,新規売建可能数量(在庫株数量)(株(口)),プレミアム料(1株あたり)
208A,構造計画研究所ホールディングス,デイトレ,2200,2.20
2096,グローバルＸ　オフィス・Ｊ－ＲＥＩＴ　ＥＴＦ,デイトレ,426,2.00
2108,日本甜菜製糖,デイトレ,600,0.00
2109,ＤＭ三井製糖,デイトレ,2700,0.00
2109,ＤＭ三井製糖,長期,45700,
2112,塩水港精糖,デイトレ,900,0.00
2114,フジ日本,デイトレ,4400,0.00
2117,ウェルネオシュガー,デイトレ,100,0.00
2117,ウェルネオシュガー,長期,16700,0.23
211A,カドス・コーポレーション,デイトレ,100,4.45
2120,ＬＩＦＵＬＬ,デイトレ,445500,0.00
2121,ＭＩＸＩ,デイトレ,1300,0.00
2121,ＭＩＸＩ,長期,165700,
2122,インタースペース,デイトレ,900,0.90
2124,ジェイエイシーリクルートメント,デイトレ,5600,0.00
2124,ジェイエイシーリクルートメント,長期,284900,
2127,日本Ｍ＆Ａセンターホールディングス,デイトレ,101300,0.00
2127,日本Ｍ＆Ａセンターホールディングス,長期,1469500,
212A,フィットイージー,デイトレ,5700,1.80
2130,メンバーズ,デイトレ,8100,0.00
2134,北浜キャピタルパートナーズ,デイトレ,309300,0.20
2136,ヒップ,デイトレ,200,0.90
2138,クルーズ,デイトレ,8600,0.00
2139,中広,デイトレ,200,0.00
213A,上場インデックスファンド日経半導体株,デイトレ,21130,0.00
2146,ＵＴグループ,デイトレ,199600,0.00
2146,ＵＴグループ,長期,1343500,
2148,アイティメディア,長期,1200,0.07
2152,幼児活動研究会,デイトレ,400,1.30
2153,Ｅ・Ｊホールディングス,長期,1700,0.10
2154,オープンアップグループ,デイトレ,2500,0.00
2154,オープンアップグループ,長期,8100,0.16
2156,セーラー広告,デイトレ,300,1.30
2157,コシダカホールディングス,デイトレ,22800,0.00
2160,ジーエヌアイグループ,デイトレ,254700,0.00
2163,アルトナー,デイトレ,15100,0.90
2168,パソナグループ,デイトレ,2800,0.00
2168,パソナグループ,長期,23200,0.13
2169,ＣＤＳ,デイトレ,700,0.00
2170,リンクアンドモチベーション,デイトレ,3100,0.00
2173,博展,デイトレ,24800,0.00
2175,エス・エム・エス,デイトレ,1100,0.00
2175,エス・エム・エス,長期,233900,
2179,成学社,デイトレ,1900,0.00
2181,パーソルホールディングス,デイトレ,35900,0.00
2181,パーソルホールディングス,長期,12243400,
2183,リニカル,デイトレ,3700,0.18
2186,ソーバル,デイトレ,1000,0.36
2193,クックパッド,デイトレ,23800,0.00
2195,アミタホールディングス,デイトレ,3600,0.90
2198,アイ・ケイ・ケイホールディングス,デイトレ,3100,0.00
219A,Ｈｅａｒｔｓｅｅｄ,デイトレ,82800,0.00
2201,森永製菓,デイトレ,3900,0.00
2201,森永製菓,長期,201200,
2204,中村屋,デイトレ,1900,0.00
2206,江崎グリコ,デイトレ,3500,0.00
2206,江崎グリコ,長期,233700,
2207,ｍｅｉｔｏ,デイトレ,400,0.00
2208,ブルボン,デイトレ,300,2.70
2211,不二家,デイトレ,3100,0.00
2211,不二家,長期,900,0.10
2212,山崎製パン,デイトレ,1900,0.00
2212,山崎製パン,長期,973400,
2215,第一屋製パン,デイトレ,1300,0.90
2216,カンロ,デイトレ,5500,0.00
2217,モロゾフ,デイトレ,1600,0.00
221A,ＭＡＸＩＳ日経半導体株上場投信,デイトレ,3560,0.00
2220,亀田製菓,デイトレ,9300,0.00
2220,亀田製菓,長期,15900,0.11
2221,岩塚製菓,デイトレ,1200,3.98
2222,寿スピリッツ,デイトレ,17900,0.00
2222,寿スピリッツ,長期,478600,
2224,コモ,デイトレ,2200,4.81
2226,湖池屋,デイトレ,1400,0.00
2229,カルビー,デイトレ,1000,0.00
2229,カルビー,長期,490700,
2235,上場インデックスファンド米国株式（ダウ平均）為替ヘッジなし,デイトレ,18,4.00
