約定日,銘柄,銘柄コード,市場,取引,期限,預り,課税,約定数量,約定単価,手数料/諸経費等,税額,受渡日,受渡金額/決済損益
2024/12/20,サカタのタネ,1377,--,株式現物売,--, 特定 ,申告,1,3415,--,--,2024/12/24,3415
2024/12/20,カゴメ,2811,--,株式現物売,--, 特定 ,申告,1,2948.5,--,--,2024/12/24,2949
2024/12/20,ビューティガレージ,3180,--,株式現物売,--, 特定 ,申告,1,1323,--,--,2024/12/24,1323
2024/12/20,トリドールホールディングス,3397,--,株式現物売,--, 特定 ,申告,1,3896,--,--,2024/12/24,3896
2024/12/20,ＣＡＲＴＡ　ＨＯＬＤＩＮＧＳ,3688,--,株式現物売,--, 特定 ,申告,1,1403,--,--,2024/12/24,1403
2024/12/20,オロ,3983,--,株式現物売,--, 特定 ,申告,1,2405,--,--,2024/12/24,2405
2024/12/20,ダイコク電機,6430,--,株式現物売,--, 特定 ,申告,1,2880,--,--,2024/12/24,2880
2024/12/23,片倉工業,3001,--,株式現物売,--, 特定 ,申告,1,1874,--,--,2024/12/25,1874
2024/12/23,ポーラ・オルビスホールディングス,4927,--,株式現物売,--, 特定 ,申告,1,1470,--,--,2024/12/25,1470
2024/12/23,東海カーボン,5301,--,株式現物売,--, 特定 ,申告,1,877,--,--,2024/12/25,877
2024/12/23,リンガーハット,8200,--,株式現物売,--, 特定 ,申告,1,2169,--,--,2024/12/25,2169
2024/12/23,サカタのタネ,1377,--,株式現物買,--, 特定 ,--,1,3410,--,--,2024/12/25,3410
2024/12/23,カゴメ,2811,--,株式現物買,--, 特定 ,--,1,2937,--,--,2024/12/25,2937
2024/12/23,ビューティガレージ,3180,--,株式現物買,--, 特定 ,--,1,1309,--,--,2024/12/25,1309
2024/12/23,トリドールホールディングス,3397,--,株式現物買,--, 特定 ,--,1,3901,--,--,2024/12/25,3901
2024/12/23,オロ,3983,--,株式現物買,--, 特定 ,--,1,2405,--,--,2024/12/25,2405
2024/12/23,ダイコク電機,6430,--,株式現物買,--, 特定 ,--,1,2840,--,--,2024/12/25,2840
2024/12/24,ポーラ・オルビスホールディングス,4927,--,株式現物買,--, 特定 ,--,1,1454,--,--,2024/12/26,1454
2024/12/24,東海カーボン,5301,--,株式現物買,--, 特定 ,--,1,882.2,--,--,2024/12/26,882
2024/12/24,リンガーハット,8200,--,株式現物買,--, 特定 ,--,1,2155,--,--,2024/12/26,2155
2024/12/25,セルシス,3663,東証,株式現物買,--, 一般 ,--,100,1341,--,--,2024/12/27,134100
2024/12/25,セルシス,3663,東証,信用新規売,15日, 特定 ,--,100,1341,--,--,2024/12/27,--
2024/12/26,イーエムシステムズ,4820,--,株式現物買,--, 特定 ,--,1,775,--,--,2024/12/30,775
2024/12/26,ライオン,4912,--,株式現物買,--, 特定 ,--,1,1773,--,--,2024/12/30,1773
2024/12/26,ＯＡＴアグリオ,4979,東証,株式現物買,--, 特定 ,--,100,1982,--,--,2024/12/30,198200
