銘柄名,銘柄コード,市場,弁済期限(いちにち),弁済期限(14日),弁済期限(無期限),売建可能数量[株],優待権利付き最終日,株主優待,特別空売り料[円],現在値[円],前日比[円],当日株価変動率[％],日中出来高増減率[％],ティック数,出来高[株],直近高値騰落率[％],貸借区分,逆日歩[円]
"ＩＦ中国科創板５０","2628","東証","○","-","-","346","-","無","0.00","4,620","75","5.00 %","-","149","34,615","-12.16 %","貸借","0.00"
"栗田工業","6370","東証","○","-","-","5,200","09/28","有","0.00","9,398","298","5.00 %","-","2,130","495,200","-1.18 %","貸借","0.00"
"ＴＭＨ","280A","東証","○","-","-","1,200","-","無","2.60","2,020","56","4.98 %","-","224","38,300","-2.41 %","信用","0.00"
"ＩＦＲＥＥＴＰＸＥＸ－Ｆ","1585","東証","○","-","-","150","-","無","1.50","2,715.5","0.0","4.96 %","-","3","50","-0.18 %","貸借","0.50"
"タツモ","6266","東証","○","-","○","1,300","-","無","0.00","4,880","95","4.94 %","-","960","270,500","-5.24 %","貸借","0.00"
"ジーニー","6562","東証","○","-","-","700","03/29","有","0.00","998","46","4.94 %","-","286","67,300","-0.10 %","貸借","0.05"
"フジミインコーポレーテッド","5384","東証","○","-","○","11,400","-","無","0.00","4,490","35","4.90 %","-","1,028","332,600","-4.05 %","貸借","0.00"
"免疫生物研究所","4570","東証","○","-","-","1,700","-","無","1.30","1,009","33","4.88 %","-","327","82,100","-0.09 %","信用","0.00"
"ＴＯＷＡ","6315","東証","○","-","○","76,400","-","無","0.00","3,335","65","4.87 %","-","5,021","3,101,900","-10.70 %","貸借","0.00"
"リプロセル","4978","東証","○","-","-","0","-","無","0.10","130","6","4.83 %","-","169","463,400","0.00 %","信用","0.00"
"東京応化工業","4186","東証","○","-","○","15,600","-","無","0.00","10,855","215","4.82 %","-","3,606","814,700","-6.42 %","貸借","0.00"
"明電舎","6508","東証","○","-","○","5,700","-","無","0.00","9,780","300","4.82 %","-","528","123,800","-4.67 %","貸借","0.00"
"グリーンモンスター","157A","東証","○","-","-","1,400","-","無","1.00","870","40","4.81 %","-","450","70,500","-6.65 %","信用","0.00"
"ウシオ電機","6925","東証","○","-","○","12,800","-","無","0.00","4,700","16","4.81 %","-","2,610","534,800","-8.98 %","貸借","0.00"
"日鉄鉱業","1515","東証","○","-","○","1,100","03/29","有","0.00","2,463","89","4.80 %","-","1,718","457,800","-0.36 %","貸借","0.00"
"ダイハツインフィニアース","6023","東証","○","-","-","0","-","無","0.00","2,747","128","4.80 %","-","776","154,400","0.00 %","貸借","0.00"
"レゾナック・ホールディング","4004","東証","○","-","○","9,100","-","無","0.00","17,500","-400","4.79 %","-","12,298","3,191,200","-7.16 %","貸借","0.00"
"日本トムソン","6480","東証","○","-","○","13,500","-","無","0.00","2,190","63","4.78 %","-","2,956","782,300","-5.60 %","貸借","0.00"
"ディジタルメディアプロ","3652","東証","○","-","-","2,200","-","無","0.70","2,407","-41","4.74 %","-","347","73,200","-3.64 %","信用","0.00"
"ＤＭＧ森精機","6141","東証","○","-","○","8,700","12/28","有","0.00","3,750.0","135.0","4.74 %","-","3,557","1,031,300","0.00 %","貸借","0.00"
"半導体日本株ＥＴＮ","163A","東証","○","-","-","188","-","無","24.00","23,390","555","4.72 %","-","657","12,939","-5.11 %","信用","0.00"
"Ｓ＆Ｊ","5599","東証","○","-","-","1,100","-","無","0.80","1,112","62","4.70 %","-","192","54,900","-0.17 %","信用","0.00"
"ユーピーアール","7065","東証","○","-","-","0","-","無","0.90","1,071","68","4.69 %","-","158","34,200","0.00 %","貸借","0.00"
"サムコ","6387","東証","○","-","-","2,100","-","無","3.10","13,400","200","4.68 %","-","631","103,600","-7.96 %","信用","0.00"
"技術承継機構","319A","東証","○","-","-","600","-","無","36.70","17,480","780","4.67 %","-","142","18,600","-0.05 %","信用","0.00"
"東京エレクトロン","8035","東証","○","-","○","57,400","-","無","0.00","73,200","260","4.66 %","-","25,282","4,678,700","-9.91 %","貸借","0.00"
"笑美面","9237","東証","○","-","-","300","-","無","0.50","788","34","4.64 %","-","53","11,800","-4.36 %","信用","0.00"
"日本動物高度医療","6039","東証","○","-","-","1,400","-","無","0.40","1,085","50","4.62 %","-","313","70,500","-0.09 %","信用","0.00"
"リーダー電子","6867","東証","○","-","-","0","-","無","0.30","431","4","4.61 %","-","37","11,100","-0.69 %","信用","0.00"
"クオリプス","4894","東証","○","-","-","3,100","-","無","14.10","4,655","270","4.60 %","-","807","155,900","0.00 %","信用","0.00"
"ナカボーテック","1787","東証","○","-","-","100","-","無","5.70","5,700","340","4.58 %","-","20","2,200","0.00 %","信用","0.00"
"セイワホールディングス","523A","東証","○","-","-","1,500","-","無","1.80","1,758","53","4.58 %","-","399","66,300","-1.73 %","信用","0.00"
"インターアクション","7725","東証","○","-","○","7,800","11/26","有","0.00","1,939","45","4.58 %","-","631","107,300","-4.67 %","貸借","0.00"
"ジャパンエンジンコーポ","6016","東証","○","-","-","2,300","-","無","9.60","8,290","510","4.53 %","-","521","115,800","0.00 %","信用","0.00"
"荏原製作所","6361","東証","○","-","○","27,800","12/28","有","0.00","6,063","74","4.53 %","-","13,326","3,285,600","-5.91 %","貸借","0.00"
"楽天２２５ダブルブル","1458","東証","○","-","-","2,864","-","無","0.00","93,810","2,650","4.47 %","-","23,992","286,328","-5.93 %","貸借","0.00"
"助川電気工業","7711","東証","○","-","-","900","09/28","有","14.30","5,030","220","4.46 %","-","252","45,800","-0.39 %","信用","0.00"
"ソマール","8152","東証","○","-","-","100","-","無","4.60","7,950","360","4.46 %","-","30","3,700","0.00 %","信用","0.00"
"日本タングステン","6998","東証","○","-","-","400","-","無","1.60","2,089","97","4.45 %","-","189","35,600","-0.42 %","貸借","0.00"
"北陸瓦斯","9537","東証","○","-","-","100","-","無","6.30","4,230","205","4.44 %","-","14","1,400","0.00 %","信用","0.00"
"シンカ","149A","東証","○","-","-","1,100","-","無","0.80","801","45","4.43 %","-","281","54,800","-2.07 %","信用","0.00"
"日経平均ブル２倍","1579","東証","○","-","-","291,050","-","無","0.50","849.6","23.7","4.43 %","-","24,249","29,104,340","-5.96 %","貸借","0.00"
"エスビー食品","2805","東証","○","-","-","1,100","09/28","有","1.30","5,430","160","4.42 %","-","257","54,500","-1.09 %","信用","0.00"
"クリアル","2998","東証","○","-","-","3,600","09/28","有","1.40","543","32","4.42 %","-","399","150,000","0.00 %","信用","0.00"
"ＪＵＫＩ","6440","東証","○","-","○","41,000","-","無","0.00","544","17","4.41 %","-","505","224,500","0.00 %","貸借","0.00"
"ダイトロン","7609","東証","○","-","○","12,600","-","無","0.00","3,670","30","4.40 %","-","241","58,600","-3.29 %","貸借","0.00"
"住友ベ－クライト","4203","東証","○","-","○","6,900","-","無","0.00","7,506","166","4.39 %","-","2,133","395,400","-1.66 %","貸借","0.00"
"ミーク","332A","東証","○","-","-","800","-","無","0.80","1,072","46","4.38 %","-","290","77,500","-0.18 %","貸借","0.00"
"ナルネットコミュニケーションズ","5870","東証","○","-","-","600","-","無","0.70","786","36","4.38 %","-","128","30,600","-1.00 %","信用","0.00"
"ブイ・テクノロジー","7717","東証","○","-","○","8,800","-","無","0.00","8,090","70","4.38 %","-","2,243","554,000","-14.20 %","貸借","0.00"
"フジコピアン","7957","東証","○","-","-","200","-","無","0.90","1,785","91","4.38 %","-","42","7,400","-0.77 %","信用","0.00"
"ソデイツク","6143","東証","○","-","○","43,200","-","無","0.00","1,907","44","4.37 %","-","1,825","442,700","-3.54 %","貸借","0.00"
"ユニチカ","3103","東証","○","-","-","0","-","無","2.00","1,031","30","4.35 %","-","3,913","2,498,300","-0.96 %","貸借","0.00"
"ノリタケ","5331","東証","○","-","○","14,400","03/29","有","0.00","4,075","110","4.35 %","-","834","348,600","-2.74 %","貸借","0.00"
"テラスカイ","3915","東証","○","-","-","0","-","無","0.00","2,279","77","4.34 %","-","546","104,800","-1.68 %","貸借","0.00"
"ダイセキ","9793","東証","○","-","○","9,200","-","無","0.00","3,840","-190","4.34 %","-","1,371","497,600","-5.88 %","貸借","0.00"
"ＮＦ日経レバ","1570","東証","○","-","-","20,493","-","無","0.00","78,680","2,300","4.33 %","-","63,981","4,376,198","-5.86 %","貸借","0.00"
"ビジュアル・プロセッシンク","334A","東証","○","-","-","0","-","無","1.10","939","39","4.33 %","-","7","1,300","0.00 %","信用","0.00"
"ドリーム・アーツ","4811","東証","○","-","-","0","-","無","0.50","796","3","4.32 %","-","103","22,100","-2.57 %","信用","0.00"
"ＲＥＢＡＳＥ","5138","東証","○","-","-","100","03/29","有","0.40","410","-7","4.32 %","-","14","2,500","-1.91 %","信用","0.00"
"立花エレテック","8159","東証","○","-","-","600","09/28","有","0.00","3,380","150","4.32 %","-","240","55,800","-0.29 %","貸借","0.00"
"朝日工業社","1975","東証","○","-","○","5,000","-","無","0.00","4,485","185","4.30 %","-","597","138,500","-1.10 %","貸借","0.00"
"日本フエルト","3512","東証","○","-","-","1,400","09/28","有","0.30","1,042","41","4.30 %","-","146","54,800","-2.15 %","信用","0.00"
"ＮＩＴＴＯＫＵ","6145","東証","○","-","-","900","-","無","0.00","2,980","96","4.30 %","-","494","86,500","-0.10 %","貸借","0.00"
"上場日経２倍","1358","東証","○","-","-","308","-","無","0.00","150,400","3,750","4.29 %","-","1,338","30,739","-5.97 %","貸借","0.00"
"ＳＭＣ","6273","東証","○","-","○","1,400","-","無","0.00","75,800","3,120","4.29 %","-","2,316","438,900","-0.62 %","貸借","0.00"
"イワキポンプ","6237","東証","○","-","○","8,100","-","無","0.00","4,150","205","4.27 %","-","749","191,600","-1.77 %","貸借","0.00"
"ザインエレクトロニクス","6769","東証","○","-","-","1,700","-","無","1.50","1,124","31","4.26 %","-","347","70,000","-3.51 %","信用","0.00"
"ＬＩＢＥＲＡＷＡＲＥ","218A","東証","○","-","-","0","-","無","3.50","1,030","42","4.25 %","-","638","172,200","-2.36 %","信用","0.00"
"バッファロー","3352","東証","○","-","-","300","-","無","1.10","1,668","61","4.25 %","-","32","12,400","-1.59 %","信用","0.00"
"三相電機","6518","東証","○","-","-","300","-","無","0.60","1,919","81","4.23 %","-","54","7,900","-2.78 %","信用","0.00"
"扶桑化学工業","4368","東証","○","-","○","7,000","-","無","0.00","4,330","35","4.21 %","-","1,209","397,900","-6.78 %","貸借","0.00"
"フルヤ金属","7826","東証","○","-","○","9,100","-","無","0.00","7,690","70","4.20 %","-","1,574","469,700","-7.57 %","貸借","0.00"
"ＧＸ半導体ＥＴＦ","2243","東証","○","-","-","9,698","-","無","0.00","5,028","-46","4.18 %","-","8,575","969,749","-8.92 %","貸借","0.00"
"黒田精工","7726","東証","○","-","-","300","-","無","1.00","1,469","69","4.18 %","-","107","28,700","-0.94 %","貸借","0.00"
"スカパーＪＳＡＴ","9412","東証","○","-","○","104,800","-","無","0.00","2,766","156","4.18 %","-","9,104","3,303,900","-0.61 %","貸借","0.00"
"プレイド","4165","東証","○","-","-","9,200","-","無","0.00","549","29","4.17 %","-","1,186","919,000","-1.61 %","貸借","0.00"
"サトウ食品","2923","東証","○","-","-","200","10/28","有","13.80","8,500","340","4.16 %","-","53","7,100","-0.11 %","信用","0.00"
"宝ホールディングス","2531","東証","○","-","-","12,500","09/28","有","0.00","2,114.0","122.0","4.13 %","-","5,326","1,243,200","-5.09 %","貸借","0.05"
"リガク・ホールディングス","268A","東証","○","-","-","63,100","-","無","0.50","2,426","-9","4.12 %","-","8,284","3,153,800","-11.42 %","信用","0.00"
"データセクション","3905","東証","○","-","-","6,700","-","無","18.90","3,160","55","4.11 %","-","4,851","1,832,100","-10.86 %","貸借","0.15"
"寺崎電気産業","6637","東証","○","-","-","900","-","無","1.60","3,665","190","4.11 %","-","200","39,000","-0.67 %","信用","0.00"
"ｉＦ２２５ダブル","1365","東証","○","-","-","5,575","-","無","0.00","4,845","135","4.10 %","-","3,273","557,490","-6.01 %","貸借","0.00"
"オークマ","6103","東証","○","-","○","7,800","-","無","0.00","4,945","155","4.10 %","-","1,506","500,200","0.00 %","貸借","0.00"
"ダイジェット","6138","東証","○","-","-","500","-","無","0.20","1,145","40","4.09 %","-","41","22,000","-0.43 %","信用","0.00"
"ＲＡＫＵＭＯ","4060","東証","○","-","-","300","12/28","有","0.00","1,121","49","4.08 %","-","74","16,300","0.00 %","貸借","0.10"
"精工技研","6834","東証","○","-","-","2,300","-","無","17.90","26,540","260","4.07 %","-","1,141","176,800","-16.14 %","貸借","0.00"
"ミスミグループ本社","9962","東証","○","-","○","7,200","-","無","0.00","4,187","122","4.07 %","-","3,448","1,001,800","0.00 %","貸借","0.00"
"オプトラン","6235","東証","○","-","○","18,100","-","無","0.00","3,845","80","4.05 %","-","1,295","502,600","-5.75 %","貸借","0.00"
"ＯＢＡＲＡＧＲＯＵＰ","6877","東証","○","-","-","400","-","無","0.00","6,160","160","4.05 %","-","217","40,700","-3.44 %","貸借","0.00"
"キッツ","6498","東証","○","-","○","21,000","12/28","有","0.00","2,570","65","4.04 %","-","776","171,200","-1.19 %","貸借","0.00"
"上場高配ベータヘッジ","1490","東証","○","-","-","0","-","無","8.00","7,730","0","4.03 %","-","2","6","0.00 %","貸借","0.00"
"南海化学","4040","東証","○","-","-","200","09/28","有","2.60","3,610","140","4.03 %","-","47","8,300","0.00 %","信用","0.00"
"カバー","5253","東証","○","-","-","6,100","-","無","3.10","1,548","90","4.03 %","-","4,457","2,033,800","-0.83 %","貸借","0.10"
"ミナトホールディングス","6862","東証","○","-","-","1,800","03/29","有","1.20","2,139","14","4.03 %","-","790","171,500","-2.06 %","信用","0.00"
"浜松ホトニクス","6965","東証","○","-","○","135,100","-","無","0.00","2,669.0","20.5","4.01 %","-","13,542","3,390,000","-3.20 %","貸借","0.00"
"ＦＡＮＴＡＳＩＳＴＡ","1783","東証","○","-","-","4,200","09/28","有","0.10","52","2","4.00 %","-","53","421,400","0.00 %","信用","0.00"
"メディネット","2370","東証","○","-","-","0","-","無","0.10","26","2","4.00 %","-","308","2,470,200","0.00 %","信用","0.00"
"ソレイジア・ファーマ","4597","東証","○","-","-","0","-","無","0.10","26","0","4.00 %","-","121","91,098,500","0.00 %","貸借","0.00"
"ジーダット","3841","東証","○","-","-","200","-","無","1.20","1,250","49","3.99 %","-","40","9,300","-3.69 %","信用","0.00"
"日本ビジネスシステムズ","5036","東証","○","-","-","2,800","09/28","有","0.00","1,618","101","3.98 %","-","924","278,500","-0.49 %","貸借","0.00"
"鶴見製作所","6351","東証","○","-","○","1,300","-","無","0.00","2,430","69","3.97 %","-","454","82,000","-0.65 %","貸借","0.15"
"テックファームＨＤ","3625","東証","○","-","-","200","-","無","0.10","551","3","3.96 %","-","36","9,900","-1.60 %","信用","0.00"
"児玉化学","4222","東証","○","-","-","0","-","無","0.30","681","28","3.96 %","-","564","141,600","0.00 %","信用","0.00"
"新東","5380","東証","○","-","-","100","-","無","0.70","1,100","20","3.96 %","-","8","800","-2.65 %","信用","0.00"
"三菱化工機","6331","東証","○","-","○","19,100","-","無","0.00","3,820","105","3.94 %","-","574","133,600","-0.13 %","貸借","0.00"
"ジンズホールディングス","3046","東証","○","-","○","0","08/27","有","0.00","8,180","360","3.93 %","-","381","146,500","-0.36 %","貸借","0.00"
"インフォネット","4444","東証","○","-","-","0","09/28","有","0.70","897","26","3.93 %","-","8","1,200","0.00 %","信用","0.00"
"ぴあ","4337","東証","○","-","-","400","09/28","有","0.00","2,713","102","3.90 %","-","200","33,200","-0.03 %","貸借","0.15"
